time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-05-28T10:07:20.400Z,18.0996666666667,-66.148,15.49,3.07,md,14,96,0.009573,0.12,pr,pr71411453,2023-05-28T13:26:34.481Z,"2 km SE of Cayey, Puerto Rico",earthquake,0.29,0.35,0.037115397224311,4,reviewed,pr,pr
2023-05-28T09:36:02.290Z,19.07,-64.8066,24,3.6,md,21,281,0.7331,0.36,pr,pr2023148006,2023-05-28T10:56:36.526Z,"81 km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,1.39,22.15,0.08,8,reviewed,pr,pr
2023-05-28T09:32:13.090Z,19.0926,-64.8685,23,3.61,md,20,280,0.7452,0.36,pr,pr2023148005,2023-05-28T10:19:13.537Z,"83 km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,1.42,24.56,0.08,8,reviewed,pr,pr
2023-05-28T08:41:55.530Z,32.4108333,-115.2171667,7.22,2.62,ml,31,49,0.07479,0.3,ci,ci40235911,2023-05-28T08:45:40.157Z,"7km NNW of Delta, B.C., MX",earthquake,0.47,1.44,0.17,26,automatic,ci,ci
2023-05-28T08:16:40.300Z,17.9253333333333,-66.8656666666667,13.86,2.56,md,5,224,0.05111,0.04,pr,pr71411403,2023-05-28T08:29:12.120Z,"6 km SSE of Maria Antonia, Puerto Rico",earthquake,1.45,0.32,0.175847792527129,3,reviewed,pr,pr
2023-05-28T07:53:01.726Z,35.1129,85.9655,12.643,4,mb,18,80,7.169,0.39,us,us7000k4l5,2023-05-28T08:25:48.040Z,"Xinjiang-Xizang border region",earthquake,10.81,6.345,0.173,9,reviewed,us,us
2023-05-28T07:00:46.713Z,42.4144,148.957,10,4.2,mb,23,136,4.326,0.59,us,us7000k4l4,2023-05-28T07:32:30.040Z,"238 km SE of Shikotan, Russia",earthquake,5.79,1.918,0.118,20,reviewed,us,us
2023-05-28T06:46:22.032Z,60.2806,-149.0624,13.9,2.8,ml,,,,0.67,ak,ak0236svdvhe,2023-05-28T07:29:37.495Z,"17 km ESE of Primrose, Alaska",earthquake,,0.4,,,automatic,ak,ak
2023-05-28T06:28:31.370Z,19.7406,-65.7353,58,3.73,md,7,288,1.4733,0.5,pr,pr2023148004,2023-05-28T07:04:34.512Z,"Puerto Rico region",earthquake,7.48,29.79,0.02,4,reviewed,pr,pr
2023-05-28T06:22:35.390Z,19.528,-65.7191,68,3.96,md,6,277,1.2962,0.41,pr,pr2023148003,2023-05-28T06:48:34.609Z,"122 km N of Suárez, Puerto Rico",earthquake,7.09,19.45,0.04,3,reviewed,pr,pr
2023-05-28T05:53:21.540Z,19.5456,-65.6766,111,3.78,md,7,283,1.2993,0.26,pr,pr2023148002,2023-05-28T06:36:29.154Z,"124 km N of Suárez, Puerto Rico",earthquake,6.23,9.37,0.01,3,reviewed,pr,pr
2023-05-28T05:51:10.899Z,60.2365,-150.9456,51,2.5,ml,,,,0.39,ak,ak0236suthgx,2023-05-28T06:50:22.040Z,"21 km ESE of Kasilof, Alaska",earthquake,,1,,,automatic,ak,ak
2023-05-28T05:49:56.136Z,36.6111,71.076,223.835,5.2,mww,106,45,2.621,0.65,us,us7000k4kr,2023-05-28T16:17:03.084Z,"35 km SE of Jurm, Afghanistan",earthquake,6.55,6.018,0.083,14,reviewed,us,us
2023-05-28T05:33:39.638Z,57.074,-156.2038,11.9,2.5,ml,,,,0.85,ak,ak0236suposr,2023-05-28T06:21:12.040Z,"87 km SE of Ugashik, Alaska",earthquake,,0.4,,,automatic,ak,ak
2023-05-28T05:33:05.790Z,19.555,-65.6766,93,3.64,md,10,279,1.3082,0.53,pr,pr2023148001,2023-05-28T06:05:39.852Z,"125 km N of Suárez, Puerto Rico",earthquake,9.14,17.11,0.17,5,reviewed,pr,pr
2023-05-28T05:17:52.750Z,18.0151666666667,-67.1333333333333,13.22,2.55,md,9,202,0.02421,0.13,pr,pr71411343,2023-05-28T05:26:24.280Z,"4 km ESE of Boquerón, Puerto Rico",earthquake,0.88,0.53,0.193085649435128,7,reviewed,pr,pr
2023-05-28T04:35:12.920Z,17.9443333333333,-66.9521666666667,9.83,2.51,md,11,213,0.07583,0.1,pr,pr71411328,2023-05-28T04:43:59.610Z,"Puerto Rico region",earthquake,0.42,0.72,0.249572163780669,5,reviewed,pr,pr
2023-05-28T03:42:24.460Z,19.1625003814697,-155.496002197266,31.4500007629395,2.93,ml,54,113,,0.100000001,hv,hv73425617,2023-05-28T05:44:24.565Z,"4 km SSW of Pāhala, Hawaii",earthquake,0.46,0.589999974,3.36,35,automatic,hv,hv
2023-05-28T03:29:55.344Z,-10.1579,161.2191,101.649,5.6,mww,113,31,1.443,0.71,us,us7000k4jy,2023-05-28T05:34:03.357Z,"Solomon Islands",earthquake,9.03,3.974,0.058,29,reviewed,us,us
2023-05-28T03:18:09.330Z,19.6351,-65.6281,91,3.96,md,7,289,1.3718,0.48,pr,pr2023148000,2023-05-28T04:25:21.324Z,"135 km N of Suárez, Puerto Rico",earthquake,9.31,18.41,0,3,reviewed,pr,pr
2023-05-28T02:06:19.111Z,-23.4194,-70.0663,36.412,4.6,mwr,45,128,0.844,0.63,us,us7000k4jl,2023-05-28T05:32:05.727Z,"42 km NE of Antofagasta, Chile",earthquake,4.9,3.068,,,reviewed,us,guc
